timestamps,TP9,AF7,AF8,TP10,Right AUX
1711108241.431,-406.250,154.785,149.902,-181.641,0.000
1711108241.435,916.504,-1000.000,-1000.000,-990.723,0.000
1711108241.439,-899.414,-1000.000,-1000.000,-987.305,0.000
1711108241.443,214.355,227.051,69.824,-178.711,0.000
1711108241.447,-1000.000,-775.391,-772.461,-1000.000,0.000
1711108241.451,-577.637,174.805,302.246,-296.387,0.000
1711108241.455,801.758,-1000.000,-962.891,946.777,0.000
1711108241.459,-862.793,-1000.000,-1000.000,-926.758,0.000
1711108241.462,225.098,112.793,-112.793,19.531,0.000
1711108241.466,-1000.000,-770.996,-816.895,-1000.000,0.000
1711108241.470,-851.074,311.035,487.793,-465.820,0.000
1711108241.474,475.586,-953.125,-869.629,861.816,0.000
1711108241.478,-811.523,-1000.000,-1000.000,-878.906,0.000
1711108241.482,372.070,-122.559,-224.121,200.684,0.000
1711108241.486,-999.512,-856.934,-911.621,-1000.000,0.000
1711108241.490,-958.008,658.691,755.859,-720.215,0.000
1711108241.494,363.281,-699.707,-611.328,668.945,0.000
1711108241.498,-821.777,-1000.000,-1000.000,-831.543,0.000
1711108241.502,548.828,-200.684,-190.430,163.086,0.000
1711108241.505,-819.824,-957.031,-975.098,-1000.000,0.000
1711108241.509,-1000.000,908.203,963.867,-957.520,0.000
1711108241.513,125.488,-384.277,-279.785,332.520,0.000
1711108241.517,-865.723,-1000.000,-1000.000,-781.250,0.000
1711108241.521,758.789,-186.035,-221.680,138.184,0.000
1711108241.525,-534.668,-978.516,980.957,-1000.000,0.000
1711108241.529,-1000.000,989.746,-951.172,-1000.000,0.000
1711108241.533,-139.648,-229.492,-44.434,39.062,0.000
1711108241.537,-979.004,-1000.000,-1000.000,-774.902,0.000
1711108241.541,998.535,-244.629,-400.391,333.008,0.000
1711108241.545,-194.824,973.145,895.996,-947.266,0.000
1711108241.548,-1000.000,-945.801,-896.484,-1000.000,0.000
1711108241.552,-170.898,-33.203,135.742,-151.367,0.000
1711108241.556,995.117,-1000.000,-1000.000,-830.566,0.000
1711108241.560,-940.918,-428.711,-607.422,530.762,0.000
1711108241.564,-5.371,880.859,769.043,-848.145,0.000
1711108241.568,-1000.000,-889.160,-852.539,-1000.000,0.000
1711108241.572,-177.246,149.414,178.711,-219.727,0.000
1711108241.576,986.328,-1000.000,-1000.000,-923.340,0.000
1711108241.580,-924.316,-670.410,-862.793,792.969,0.000
1711108241.584,191.895,710.449,473.633,-562.988,0.000
1711108241.587,-1000.000,-842.285,-800.781,-1000.000,0.000
1711108241.591,-308.105,182.129,148.438,-186.035,0.000
1711108241.595,957.520,-1000.000,-1000.000,-982.910,0.000
1711108241.599,-915.039,-800.293,-1000.000,986.816,0.000
1711108241.603,223.633,564.453,168.457,-232.910,0.000
1711108241.607,-1000.000,-812.500,-770.996,-1000.000,0.000
1711108241.611,-506.836,150.879,230.957,-256.836,0.000
1711108241.615,863.770,-1000.000,-994.629,966.797,0.000
1711108241.619,-880.371,-1000.000,-1000.000,-941.895,0.000
1711108241.623,195.801,188.965,-46.875,-23.926,0.000
1711108241.627,-1000.000,-768.555,-795.898,-1000.000,0.000
1711108241.630,-739.258,223.145,413.574,-433.594,0.000
1711108241.634,617.676,-994.141,-907.227,880.859,0.000
1711108241.638,-827.148,-1000.000,-1000.000,-890.137,0.000
1711108241.642,303.711,-65.430,-210.449,135.742,0.000
1711108241.646,-1000.000,-804.199,-875.977,-1000.000,0.000
1711108241.650,-954.590,474.121,646.484,-636.230,0.000
1711108241.654,338.379,-870.605,-737.305,744.141,0.000
1711108241.658,-804.688,-1000.000,-1000.000,-847.168,0.000
1711108241.662,471.680,-228.516,-205.566,177.734,0.000
1711108241.666,-891.602,-905.762,-948.242,-1000.000,0.000
1711108241.669,-1000.000,731.934,880.371,-859.375,0.000
1711108241.673,123.535,-641.113,-432.617,483.887,0.000
1711108241.677,-843.750,-1000.000,-1000.000,-800.293,0.000
1711108241.681,679.199,-204.102,-178.223,145.996,0.000
1711108241.685,-645.996,-941.895,-995.117,-1000.000,0.000
1711108241.689,-1000.000,864.746,-979.004,-1000.000,0.000
1711108241.693,-101.074,-456.055,-132.324,144.043,0.000
1711108241.697,-947.754,-1000.000,-1000.000,-765.137,0.000
1711108241.701,933.594,-174.805,-320.801,234.863,0.000
1711108241.705,-312.012,998.047,934.570,-993.652,0.000
1711108241.709,-1000.000,-966.309,-917.480,-1000.000,0.000
1711108241.712,-162.598,-91.309,66.406,-57.129,0.000
1711108241.716,-997.559,-1000.000,-1000.000,-797.363,0.000
1711108241.720,-957.520,-333.984,-515.625,430.176,0.000
1711108241.724,-78.613,919.434,837.891,-896.973,0.000
1711108241.728,-1000.000,-901.855,-870.605,-1000.000,0.000
1711108241.732,-174.805,170.898,185.547,-236.328,0.000
1711108241.736,988.281,-1000.000,-1000.000,-892.090,0.000
1711108241.740,-928.223,-470.215,-761.719,684.570,0.000
1711108241.744,114.258,881.348,609.863,-704.590,0.000
1711108241.748,-1000.000,-883.789,-821.289,-1000.000,0.000
1711108241.752,-249.512,193.848,158.203,-198.730,0.000
1711108241.755,971.191,-1000.000,-1000.000,-961.426,0.000
1711108241.759,-917.969,-812.988,-982.422,921.875,0.000
1711108241.763,225.586,548.340,276.367,-368.164,0.000
1711108241.767,-1000.000,-810.547,-777.344,-1000.000,0.000
1711108241.771,-401.855,152.832,175.293,-174.316,0.000
1711108241.775,920.410,-1000.000,-1000.000,997.559,0.000
1711108241.779,-900.391,-1000.000,-1000.000,-963.867,0.000
1711108241.783,216.309,216.309,20.020,-74.707,0.000
1711108241.787,-1000.000,-771.973,-781.250,-1000.000,0.000
1711108241.791,-530.273,272.949,353.027,-369.629,0.000
1711108241.795,841.797,-976.562,-937.500,914.062,0.000
1711108241.798,-871.582,-1000.000,-1000.000,-906.250,0.000
1711108241.802,241.211,-30.762,-156.738,94.727,0.000
1711108241.806,-1000.000,-791.504,-840.332,-1000.000,0.000
1711108241.810,-872.070,374.023,548.340,-559.082,0.000
1711108241.814,446.289,-930.176,-823.730,814.453,0.000
1711108241.818,-806.641,-1000.000,-1000.000,-861.816,0.000
1711108241.822,392.578,-188.477,-219.238,185.547,0.000
1711108241.826,-946.777,-845.703,-922.363,-1000.000,0.000
1711108241.830,-1000.000,546.387,790.527,-815.430,0.000
1711108241.834,172.363,-836.914,-562.988,544.922,0.000
1711108241.838,-817.871,-1000.000,-1000.000,-810.547,0.000
1711108241.841,585.449,-217.773,-185.547,152.344,0.000
1711108241.845,-767.578,-927.246,-983.887,-1000.000,0.000
1711108241.849,-1000.000,807.617,989.746,-1000.000,0.000
1711108241.853,-8.301,-540.527,-223.633,219.238,0.000
1711108241.857,-895.996,-1000.000,-1000.000,-772.461,0.000
1711108241.861,820.801,-182.129,-247.070,151.855,0.000
1711108241.865,-471.680,-990.234,968.750,-1000.000,0.000
1711108241.869,-1000.000,-991.211,-940.430,-1000.000,0.000
1711108241.873,-142.090,-184.570,-8.301,4.395,0.000
1711108241.877,-980.957,-1000.000,-1000.000,-779.785,0.000
1711108241.880,-993.652,-241.699,-433.594,335.938,0.000
1711108241.884,-177.246,974.121,878.906,-948.242,0.000
1711108241.888,-1000.000,-944.336,-887.695,-1000.000,0.000
